bp	wp	player	move	reaction_time	player_id	16
8192	4194304	Black	12	11	400	16
8396800	4194304	White	33	10	355	16
8396800	1077936128	Black	14	9	258	16
8413184	1077936128	White	12	3	88	16
8413184	1077936136	Black	12	3	61	16
8417280	1077936136	White	11	1	1	16
8417280	1077938184	Black	15	1	1	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
1077936128	8388608	White	32	8	390	16
1077936128	8404992	Black	12	11	392	16
5372903424	8404992	White	31	4	67	16
5372903424	8409088	Black	31	3	33	16
5372911616	8409088	White	31	3	30	16
5372911616	2155892736	Black	15	15	400	16
5372944384	2155892736	White	29	15	400	16
5372944384	2172669952	Black	5	17	400	16
5406498816	2172669952	White	5	25	393	16
5406498816	19352539136	Black	4	18	400	16
5406498832	19352539136	White	5	5	67	16
5406498832	19354636288	Black	5	7	74	16
5406498864	19354636288	White	35	1	1	16
5406498864	53714374656	Black	6	5	44	16
13996433456	53714374656	White	3	3	39	16
13996433456	53714374658	Black	11	18	347	16
14130651184	53714374658	White	11	17	308	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8192	Black	30	11	400	16
4210688	8192	White	32	7	392	16
4210688	1073750016	Black	32	12	400	16
4299177984	1073750016	White	12	7	252	16
4299177984	9663684608	Black	23	5	87	16
4299182080	9663684608	White	2	1	1	16
4299182080	9663684612	Black	23	5	81	16
4301279232	9663684612	White	20	3	55	16
4301279232	9672073220	Black	3	21	398	16
4301279240	9672073220	White	19	13	166	16
4301279240	11819556868	Black	19	23	400	16
4301312008	11819556868	White	20	23	361	16
4301312008	11820605444	Black	16	22	383	16
4301377544	11820605444	White	17	1	1	16
4301377544	11820736516	Black	11	20	387	16
4301377560	11820736516	White	24	6	25	16
4301377560	11820736548	Black	24	10	57	16
4318154776	11820736548	White	28	11	62	16
4318154776	12357607460	Black	8	2	3	16
0	0	Black	22	12	400	16
2097152	0	White	20	11	398	16
2097152	4194304	Black	13	11	400	16
34361835520	4194304	White	32	12	400	16
34361835520	4299161600	Black	12	16	400	16
34361839616	4299161600	White	11	13	342	16
34361839616	5372903424	Black	31	15	398	16
36509323264	5372903424	White	11	5	84	16
36509323264	5372919808	Black	6	17	396	16
36509323296	5372919808	White	6	7	279	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	134217728	Black	23	10	400	16
4299161600	134217728	White	12	7	310	16
4299161600	134221824	Black	23	10	394	16
5372903424	134221824	White	31	3	32	16
5372903424	134238208	Black	31	3	31	16
5381292032	134238208	White	21	5	130	16
5381292032	2281721856	Black	21	3	61	16
5383389184	2281721856	White	20	1	1	16
5383389184	10871656448	Black	24	1	1	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
4202496	8388608	White	31	8	396	16
4202496	2155872256	Black	12	14	400	16
6299648	2155872256	White	20	10	324	16
6299648	2156920832	Black	5	12	386	16
6316032	2156920832	White	12	6	121	16
6316032	2156953600	Black	7	22	399	16
6316160	2156953600	White	30	6	135	16
6316160	6451920896	Black	30	5	95	16
6320256	6451920896	White	11	3	18	16
6320256	7525662720	Black	11	1	1	16
543191168	7525662720	White	11	1	1	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
1077936128	8388608	White	32	8	390	16
1077936128	2155872256	Black	12	23	400	16
5372903424	2155872256	White	12	8	139	16
5372903424	2155905024	Black	7	16	400	16
5372903552	2155905024	White	12	11	356	16
5372903552	2158002176	Black	6	8	195	16
5372903616	2158002176	White	14	1	1	16
5372903616	2158002208	Black	14	5	18	16
0	0	Black	22	12	400	16
2097152	0	White	20	11	398	16
2097152	4194304	Black	13	11	400	16
2149580800	4194304	White	11	9	387	16
2149580800	1077936128	Black	14	11	400	16
2149597184	1077936128	White	11	13	251	16
2149597184	5372903424	Black	13	23	395	16
2149599232	5372903424	White	1	1	1	16
2149599232	5372903426	Black	12	22	399	16
2149603328	5372903426	White	13	1	1	16
2149603328	5372911618	Black	20	22	398	16
2149603344	5372911618	White	20	25	381	16
2149603344	5373960194	Black	10	18	384	16
2149603856	5373960194	White	10	1	1	16
2149603856	5373961218	Black	0	22	394	16
2150128144	5373961218	White	0	21	381	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
1077936128	8388608	White	32	8	390	16
1077936128	8404992	Black	12	11	392	16
5372903424	8404992	White	31	4	67	16
5372903424	8413184	Black	31	5	89	16
5372903432	8413184	White	12	3	66	16
5372903432	8417280	Black	15	2	29	16
5372936200	8417280	White	11	14	265	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
6291456	8388608	White	20	10	369	16
6291456	9437184	Black	13	13	400	16
543162368	9437184	White	31	6	299	16
543162368	9445376	Black	30	17	400	16
543162376	9445376	White	30	7	129	16
543162376	9449472	Black	11	20	390	16
543178760	9449472	White	30	5	87	16
543178760	9451520	Black	10	26	393	16
543179784	9451520	White	30	5	49	16
543179784	1083193344	Black	4	24	339	16
543179800	1083193344	White	2	3	24	16
543179800	1083193376	Black	2	22	384	16
543179804	1083193376	White	1	1	1	16
543179804	1083193378	Black	28	20	396	16
543180060	1083193378	White	24	19	358	16
543180060	9673127970	Black	15	18	285	16
543311132	9673127970	White	16	12	107	16
543311132	13968095266	Black	31	16	327	16
2690794780	13968095266	White	26	15	239	16
2690794780	14035204130	Black	28	14	288	16
37050533148	14035204130	White	28	13	217	16
37050533148	14068758562	Black	24	12	191	16
37067310364	14068758562	White	34	1	2	16
37067310364	31248627746	Black	7	10	186	16
37067375900	31248627746	White	15	1	1	16
37067375900	31248660514	Black	28	8	70	16
37201593628	31248660514	White	28	7	26	16
37201593628	31517095970	Black	7	6	38	16
37201855772	31517095970	White	9	5	9	16
37201855772	31517096482	Black	7	4	5	16
37202380060	31517096482	White	7	3	3	16
37202380060	31517096483	Black	7	2	2	16
37202380188	31517096483	White	6	1	1	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
4299161600	8388608	White	12	9	317	16
4299161600	8392704	Black	14	14	400	16
5372903424	8392704	White	31	3	32	16
5372903424	2155876352	Black	14	16	399	16
5372919808	2155876352	White	6	1	1	16
5372919808	2155876416	Black	24	14	397	16
5372952576	2155876416	White	16	7	44	16
